;id;polygon;ignition_day;num_days;fire_area;increase
0;33695;[[63.36022981, 131.64337506], [63.37006728, 131.63161503], [63.45232745, 131.70552472], [63.45892403, 131.73318507], [63.45868943, 131.7399371], [63.44891097, 131.75162479], [63.36689408, 131.67128722], [63.36452859, 131.66320924], [63.36022981, 131.64337506]];2020-06-28;433;34.538 км²;0.0
1;35505;[[63.17206042, 131.55356557], [63.17341353, 131.53497748], [63.18604728, 131.53184807], [63.19759138, 131.55271188], [63.20444258, 131.58096351], [63.2054716, 131.58662453], [63.19555187, 131.59844208], [63.18563119, 131.61025201], [63.17540292, 131.57641277]];2020-07-14;417;13.244 км²;0.0
2;36365;[[59.63683152, 108.22108345], [59.63922906, 108.20344237], [59.64803195, 108.20799943], [59.64563251, 108.2256386], [59.63683152, 108.22108345]];2020-07-22;409;643748.519 м²;0.0
3;37330;[[61.50329538, 125.90252067], [61.50415556, 125.80308485], [61.51180458, 125.77518463], [61.5729845, 125.59862343], [61.59789804, 125.55820468], [61.74342918, 125.47999382], [61.77560835, 125.49873343], [61.79151727, 125.53689606], [61.79150107, 125.56464038]];2020-08-02;398;352.19 км²;0.0
4;37495;[[58.59626905, 109.97675927], [58.59852924, 109.95927852], [58.60747776, 109.96347771], [58.61069668, 109.97164428], [58.60810078, 109.9883717], [58.59942257, 109.98346058], [58.59626905, 109.97675927]];2020-08-04;396;1.208 км²;0.0
5;37813;[[58.60134018, 108.47995737], [58.61074554, 108.47594473], [58.61295328, 108.49570476], [58.60353079, 108.49961842], [58.60134018, 108.47995737]];2020-08-06;394;763389.646 м²;0.0
6;38414;[[59.47428232, 107.75842686], [59.4765168, 107.73794561], [59.48813278, 107.73081647], [59.49699753, 107.73520221], [59.49461241, 107.75299961], [59.49223777, 107.77071307], [59.48340157, 107.76617505], [59.47428232, 107.75842686]];2020-08-10;390;2.362 км²;0.0
7;38648;[[58.09432323, 109.16754565], [58.11243344, 109.05825236], [58.11353015, 109.05343613], [58.14000511, 109.0218773], [58.14952183, 109.01807975], [58.17533404, 109.0483029], [58.18456171, 109.06617545], [58.18668077, 109.08584787], [58.17827689, 109.10352245]];2020-08-14;386;29.726 км²;0.0
8;39002;[[59.97878576, 63.89513341], [59.98198819, 63.87691728], [59.98956417, 63.86940141], [59.9983585, 63.8755403], [59.99513794, 63.89370587], [59.99191071, 63.91189242], [59.98311828, 63.90571165], [59.97878576, 63.89513341]];2020-08-19;381;2.885 км²;0.0
9;39267;[[59.56836047, 108.71545806], [59.57799616, 108.71159579], [59.58016766, 108.73254037], [59.58233727, 108.7535022], [59.57269207, 108.75740635], [59.56836047, 108.71545806]];2020-08-23;377;1.676 км²;0.0
10;39301;[[58.52602245, 110.56696614], [58.52992208, 110.56117033], [58.53763021, 110.55476313], [58.54755204, 110.5482452], [58.57239714, 110.5753159], [58.56969633, 110.59210251], [58.53814983, 110.61049843], [58.52946198, 110.60534039], [58.52602245, 110.56696614]];2020-08-24;376;8.333 км²;0.0
